Title,Handle,Price,Original_Price,Category,Image_URL
Handi,handi-1,17.74,,Home & Garden > Kitchen & Dining > Tableware > Serveware,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/20a.png?v=1771904362
Gamla (Pot),gamla-pot,65.00,,Home & Garden > Lawn & Garden > Gardening > Pots & Planters > Pots,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/19b.png?v=1771904361
Flower Dish,flower-dish,42.00,,Home & Garden > Decor > Decorative Trays,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/17m.png?v=1771904360
Butter Dish,butter-dish-1,45.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Butter Dishes,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/16g.png?v=1771904359
White Floral Rice Dish|Blue pottery,white-floral-rice-dish-blue-pottery,48.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_95639109-b13f-4d65-9...
Floral White Dinner Plate| 10 inches| Single Plate,floral-white-dinner-plate-10-inches-single-plate,28.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_c39cc731-eaeb-452f-8...
White Floral 6 person Dessert Set/Soup Set,white-floral-6-person-dessert-set-soup-set,75.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_ac0f97f9-c35d-4721-8...
Floral White Dessert Serving Set(Square+bowl)|Blue Pottery,floral-white-dessert-serving-setsquare-bowl-blue-pottery,84.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_7fdd21b8-144b-4c51-b...
Floral White kebab Dish(Long)|Blue Pottery,floral-white-kebab-dishlong-blue-pottery,34.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_f6ff802d-f7d8-4423-b...
Ceramic Coffee Mug,ceramic-coffee-mug,15.00,,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/15p.png?v=1771904352
